Site,Agapostemontexanus,Andrenasp,Anthidiummanicatum,Anthophorasp,Anthophoraurbana,Apismellifera,Ashmeadiellabucconis,Bombuscaliginosus,Bombusvosnesenskii,Colletesp,Ceratinaacantha,Ceratinananula,Coelioxysrufitarsis,Euceraactuosa,Eucerasp,Halictusconfusus,Halictusligatus,Halictusrubicundus,Halictussp,Halictustripartitus,Holcopasitessp,Hylaeusleptocephalus,Hylaeusmesillae,Hylaeuspanamensis,Hylaeuspolifolii,Hylaeuspunctatus,Hylaeusrudbeckiae,Hylaeussp,HylaeusspA,HylaeusspB,LasioglossumDialictusincompletum,LasioglossumDialictussp,LasioglossumSpechodogastrasp,LasioglossumLasioglossumsp,Lasioglossumsp,Megachileapicalis,Megachilebrevis,Megachilelatimanus,Megachileperihirta,Megachilerelativa,Megachilerotundata,Megachilesp,MegachilespA,Melissodesrobustior,Melissodessp,MelissodesspA,Nomadaedwardsii,Nomadasp,Peponapispruinosa,Sphecodessp,unknownunknown,Xylocopatabaniformisorpifex,Xylocopavaripuncta
Aptos,1,0,0,0,0,135,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
BeachFlats,9,0,0,0,0,44,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0
Berryessa,8,0,0,0,0,81,0,8,5,0,4,0,0,0,0,0,2,0,1,12,0,0,0,0,0,0,3,0,0,0,0,18,0,8,8,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,7
Chadwick,1,1,0,0,4,217,0,22,6,0,0,0,0,0,0,0,0,1,0,15,0,0,0,2,0,8,2,0,0,0,0,5,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0
Chinatown,2,0,0,0,0,13,1,15,5,0,2,1,0,0,0,0,0,0,0,33,0,0,1,0,1,2,0,0,3,0,0,3,2,0,3,1,3,1,16,1,1,2,0,0,0,0,0,0,0,0,0,0,0
CoyoteCreek,0,0,1,0,0,53,1,1,3,0,21,2,0,0,0,0,20,0,0,11,0,1,17,0,0,4,5,2,1,0,0,2,1,0,5,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3
Farm,1,0,0,0,1,163,2,9,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Forge,15,0,0,0,0,58,0,1,1,0,0,0,0,1,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,3,0,1,0,0,21,4,0,1,0,0,0,0,1,4
Grange,7,0,0,0,0,91,0,2,4,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,1,3,2,0,0,0,0,4,0,0,5,0,1,0,1,0,0,0,0,23,1,0,0,0,1,0,0,1,0
Homeless,6,0,0,0,0,155,0,12,15,3,23,9,0,2,0,0,0,0,0,6,0,0,0,1,1,0,8,0,0,0,0,6,2,1,2,0,0,0,1,0,0,1,0,2,0,0,0,0,1,1,0,0,0
LaColina,0,0,1,0,0,80,0,3,1,0,5,1,0,0,0,0,0,0,0,18,0,2,23,1,1,1,12,3,0,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
LagunaSeca,0,0,0,0,0,69,0,3,4,0,12,14,0,0,0,0,1,0,0,6,0,18,55,3,0,2,31,4,0,0,0,23,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
MEarth,5,0,0,0,0,119,0,7,4,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,5,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIIS,6,0,0,0,0,38,0,1,0,2,0,0,0,0,0,0,0,0,1,120,0,0,0,0,0,2,0,0,0,1,0,3,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Prusch,5,0,0,0,0,50,1,0,2,0,0,0,0,0,0,2,23,0,0,9,0,0,0,2,0,1,0,1,0,0,0,6,2,1,4,0,0,0,0,0,1,0,0,32,2,0,0,3,1,0,0,0,6
Salinas,0,0,0,0,2,77,0,8,3,0,0,0,2,0,1,0,0,0,2,132,1,0,0,0,0,0,0,0,1,0,0,3,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Seaside,7,0,0,0,1,47,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WVI,3,0,0,0,0,123,0,4,9,0,0,0,0,1,0,0,0,0,0,7,0,0,0,3,1,7,4,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
